字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Candy Boy","TWICE",,,426、427、428、429、430,B - 右下角数字 6 蓝条结尾,B - 左下角数字 5 蓝条结尾、右下角数字 5 蓝条结尾,248,606,1602460,36 + 0.0
,,"豆你玩","李子璇",,红色,249、249、250、250、251、251、252、254、257、258,B - 中间数字 14 单点（cool）、右上角数字 15 单点,B - 左下角数字 2 蓝条结尾、右边数字 3 单点、左下角数字 4 单点（cool）,172,348,1151767,49 + 0.0
,,"I'm OK","小青龙",,红色,191,A - 右下角数字 5 蓝条中间,A - 右下角数字 9 蓝条结尾、上面数字 10 蓝条开始,237,510,1493173,47 + 0.0
,,"courage","戸松遥",,,108、109、110、111、431、432、433、434,A - 左上角数字 7 单点,A - 左上角数字 3 绿条结尾、右上角数字 4 单点,306,628,1595745,31 - 0.4
,,"flower of sorrow","花たん",,,375、376,B - 左下角数字 8 绿条结尾,B - 左上角数字 7 单点,210,471,1359774,28 + 0.3
S,9,"Scarlet Faith","仲村芽衣子",,,171、172、173、357、363、435、436、437,A - 中间数字 3 蓝条开始,A - 左上角数字 6 蓝条中间,205,469,1244392,28 + 0.1
,,"Shiny","高颖浠",,,187、188、538、539,A - 右上角数字 1 单点,A - 左下角数字 2 单点,421,800,2382238,48 + 0.0
,,"最好的天气","郭采洁",,红色,185,B - 右下角数字 4 绿条结尾,B - 右上角数字 5 蓝条结尾,134,328,951399,29 + 0.2
C,8,"春夏秋冬","Sumika",,,292、293、311、312、313、314,B - 右下角数字 4 蓝条开始,B - 右上角数字 3 单点,288,566,1388985,25 - 0.2
,,"雨后的咖啡","SNP",,红色,247、248、258、259,B - 右上角数字 1 蓝条开始,B - 左上角数字 3 单点、中间数字 4 单点（cool）,150,297,739460,26 - 0.2
,,"黒い羊","欅坂46",,红色,196,B - 左上角数字 1 单点,B - 左下角数字 5 单点,142,286,820380,28 - 0.1
B,8,"被遗忘的天使","萧忆情",,,172、377,A - 右上角数字 3 蓝条开始,A - 右下角数字 7 单点,241,446,991754,25 + 0.0
L,6,"绿色","GReeeeN",,红色,97、97,A - 中间数字 3 单点（cool）、右上角数字 4 单点,A - 右下角数字 3 单点,157,354,997676,31 - 0.3
M,7,"莫名奇妙爱上你","朱主爱",,红色,127,A - 左上角数字 3 单点,A - 右下角数字 6 蓝条结尾,217,417,1164787,33 + 0.0
,,"倾杯","SING女团",,,343、346,B - 左下角数字 1 单点、右下角数字 1 单点,B - 右下角数字 5 单点,207,384,992314,26 - 0.1
C,8,"Chain","NCT 127",,,247、253,B - 左下角数字 3 单点,B - 右下角数字 9 单点,179,335,1129136,26 + 0.0
Q,7,"青花引","Ace组合",,红色,276、276、277、277、278,B - 中间数字 10 单点（cool）、右边数字 11 单点,B - 右上角数字 4 蓝条中间,180,311,946393,34 + 0.0
,,"观花","萌娜丽莎/郑冰冰",,红色,204,B - 左下角数字 16 单点,B - 左下角数字 2 蓝条结尾,153,289,781770,24 - 0.1
,,"365","Zedd/Katy Perry",,红色,162、162,B - 中间数字 3 单点（cool）、右下角数字 4 蓝条开始,B - 左下角数字 17 单点、左下角数字 18 单点（cool）,116,235,680913,30 - 0.3
H,9,"Happy Song","南征北战NZBZ",,,170、171、172,A - 左上角数字 1 单点,A - 上面数字 6 单点,345,590,1263812,30 - 0.2
L,7,"两双","谢安琪/吉克隽逸",,红色,103、252,A - 右下角数字 10 单点,A - 右下角数字 16 单点,159,320,845498,25 - 0.2
,,"魂不守舍","朱星杰",,红色,252,B - 左下角数字 6 绿条结尾、右上角数字 1 单点,B - 左边数字 5 单点,154,318,863411,26 + 0.3
,,"空山新雨后","音阙诗听/锦零",,红色,144、145、145,B - 右上角数字 5 单点,B - 右上角数字 10 单点、右上角数字 11 单点（cool）,101,214,566311,23 - 0.1
,,"Bon Bon(给他一击)","强东玥",,,40,A - 右上角数字 3 单点,A - 右上角数字 1 蓝条结尾,158,302,797622,22 - 0.1
,,"甜甜的情歌","Young 7",,红色,116,A - 左下角数字 4 蓝条开始,A - 左下角数字 1 单点,179,304,861649,27 + 0.1
B,6,"BET","Da-iCE",,红色,196,B - 左下角数字 4 单点,B - 右上角数字 6 绿条开始,145,325,883437,25 + 0.1
,,"闺蜜大过天","李子璇/吴芊盈",,红色,166,B - 左下角数字 2 绿条结尾、右上角数字 3 单点,B - 右上角数字 6 单点,112,230,552976,21 - 0.4
,,"我们是太阳","筷子兄弟",,红色,108、109、109、280、281、281,A - 右下角数字 9 单点,A - 右下角数字 12 蓝条中间,184,370,921655,27 - 0.2
,,"觅","王喆",,,455、456、457,B - 右上角数字 1 单点,B - 右下角数字 4 蓝条结尾、左上角数字 5 单点,231,490,1571837,33 + 0.0
,,"帅一个","罗志祥",,红色,378、454,B - 右下角数字 3 蓝条开始,B - 右上角数字 6 蓝条结尾、左上角数字 7 绿条开始,206,526,1525732,44 - 0.1
,,"Last One Standing","Simple Plan",,,269,B - 右下角数字 1 单点,B - 左下角数字 6 单点,212,546,1393802,31 + 0.0
,,"For You","高颖浠",,红色,201,B - 左上角数字 6 单点,B - 左下角数字 1 单点,137,249,780704,30 - 0.1
J,8,"境界の彼方","茅原実里",,,200、244、245、246、452、496、497、498,A - 左上角数字 1 蓝条开始,A - 右上角数字 8 单点,325,577,1252885,27 - 0.1
,,"朝代","排骨教主",,红色,230,B - 右上角数字 3 单点,B - 右上角数字 8 绿条开始,128,272,761870,27 + 0.3
,,"FOOLISH","Meghan Trainor",,红色,228,B - 右上角数字 5 蓝条开始,B - 左下角数字 4 绿条中间,178,360,979211,30 - 0.5
,,"Radiant","TANGRAM",,,279,B - 左上角数字 1 单点,B - 右下角数字 6 单点,217,454,1113789,28 - 0.1
S,6,"声音之城","飞儿乐团",,红色,219、220、220,B - 左边数字 2 单点,B - 左上角数字 6 单点、中间数字 7 单点（cool）,145,287,824282,26 + 0.4
K,10,"克罗地亚第二狂想曲","Various Artists",,,820、824、828、832,B - 左下角数字 1 蓝条结尾、右下角数字 2 单点,B - 左边数字 7 蓝条结尾、上面数字 8 单点,551,1131,2876613,42 + 0.0
,,"白衣少年","许诗茵",,,131、132、133、367、368、369,A - 上面数字 1 单点,A - 左上角数字 3 蓝条结尾,220,469,1292935,26 + 0.2
,,"工笔","Awaken-F",,,265、266,B - 左上角数字 6 单点,B - 右上角数字 12 蓝条中间,202,456,1477647,35 + 0.0
,,"Loki","BC221",,红色,181、182、183、184,B - 左上角数字 4 单点,B - 右上角数字 9 单点,167,324,828453,24 - 0.1
H,9,"Hypnotic","Zella Day",,,225、226、227、228,A - 下面数字 1 单点,A - 中间数字 6 单点,287,564,1516494,27 + 0.0
,,"马上上马","庄园",,红色,245、464,A - 左下角数字 4 蓝条结尾、右下角数字 5 蓝条开始,A - 左下角数字 6 蓝条结尾、右下角数字 7 蓝条开始,311,556,1708806,48 - 0.1
C,7,"藏不住","BY2/萧秉治",,,288,B - 右下角数字 1 单点,B - 左上角数字 6 单点,191,438,1141886,26 + 0.0
,,"I Got You","Bebe Rexha",,红色,197,B - 右下角数字 6 单点,B - 左上角数字 2 蓝条结尾,114,238,689676,30 + 0.0
,,"我的告白","王栎鑫/周文杰",20,,385、391,B - 右下角数字 9 单点,B - 下面数字 2 蓝条结尾、右上角数字 3 单点,303,526,1219554,31 - 0.3
,,"Focus","TANGRAM",,,203、204,B - 左下角数字 4 单点,B - 左上角数字 9 蓝条结尾,168,414,1306873,30 + 0.0
